url,price,rooms,area_m2,floor,district,build_type,renovation,bathroom,heating,condition,techpassport
https://somon.tj/adv/15188871_2-komn-kvartira-9-etazh-56-m2-sino/,720000,2,56.0,9,Сино,Новостройка,Новый ремонт,Совмещенный,Есть,Построено,Нет
https://somon.tj/adv/13442770_4-komn-kvartira-5-etazh-94-m2-30-mkr/,530000,3,94.0,5,30 мкр,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
https://somon.tj/adv/15250168_2-komn-kvartira-2-etazh-84-m2-sino/,493000,2,82.0,2,Сино,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15250154_3-komn-kvartira-2-etazh-99-m2-sino/,589000,3,97.0,2,Сино,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15145729_4-komn-kvartira-2-etazh-126-m2-somoni-voda-nasos/,1299900,4,126.0,2,Сомони (водонасос),Новостройка,Без ремонта (коробка),Совмещенный,Есть,Построено,Нет
https://somon.tj/adv/14852393_3-komn-kvartira-10-etazh-68-m2-ulitsa-kazokon-2-naprotiv-roddoma-no-3-raion-sino/,980000,3,68.0,10,Сино,Новостройка,Новый ремонт,Совмещенный,Есть,Построено,Нет
https://somon.tj/adv/14140039_3-komn-kvartira-6-etazh-88-m2-szadi-opera-balet-tsentr-raion-shokhmansur/,1254000,3,88.0,6,"Опера балет, Центр, Район Шохмансур",Новостройка,Новый ремонт,Совмещенный,Есть,Построено,Нет
https://somon.tj/adv/14171587_1-komn-kvartira-10-etazh-44-m2-rudaki/,228000,1,45.0,10,Назди Хукумати Ленинский Район,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
https://somon.tj/adv/15209998_2-komn-kvartira-7-etazh-75-m2-pr-rudaki/,265000,2,75.0,7,улица Рудаки 144,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
https://somon.tj/adv/15285595_3-komn-kvartira-7-etazh-75-m2-slavianskii/,1070000,3,75.0,7,Славянский,Новостройка,С ремонтом,Совмещенный,Есть,Построено,Нет
https://somon.tj/adv/15052820_3-komn-kvartira-12-etazh-112-m2-shokhmansur-st-aeroport/,780000,3,112.0,12,"Шохмансур, Ст. Аэропорт",Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15091355_2-komn-kvartira-8-etazh-78-m2-firdavsi/,910000,2,78.0,8,Фирдавси,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15091168_2-komn-kvartira-2-etazh-76-m2-vakhdat-ruparui-pochta/,659000,2,76.0,3,"Чорроҳаи Файзобод, Коллеҷи Омор",Вторичный рынок,Новый ремонт,Раздельный,Есть,Построено,Нет
