price,rooms,area_m2,floor,district,build_type,renovation,bathroom,heating,condition,techpassport
185000,2,56,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
185000,2,45,6,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
185000,2,2026,2,Другое,Вторичный рынок,Новый ремонт,Раздельный,Нет,Построено,Есть
185000,1,37,3,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
185000,1,58,7,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
185000,1,39,2,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Есть
185000,1,50,13,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
185000,2,40,2,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
185000,1,59,7,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
185900,1,45,1,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
189500,2,45,5,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
190000,1,45,8,Другое,Новостройка,Новый ремонт,Раздельный,Нет,Построено,Нет
190000,2,55,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,Построено,Нет
190000,1,45,3,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
190000,1,50,6,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
190000,1,54,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
190000,1,42,5,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
190000,2,50,7,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
190000,3,68,9,И. Сомони,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
